Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,824.75,2.00,26566.00,720007.00,16.72,76.00,94.00,121.00,268.00,690.00,2034.80,3654.40,7904.12,1858.80
HTTP Chunks Sent,1.00,1.00,1.00,873.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.10,0.00,1.40,91.41,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.78,1.13,0.28
HTTP Connection Overhead (ms),0.12,0.00,1.81,108.11,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.78,1.58,0.35
HTTP Connection Reused (ratio),0.86,0.00,1.00,754.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.34
HTTP Data Received (KB),206.93,1.11,6681.67,180651.40,4.79,19.68,24.22,30.96,67.45,173.74,509.05,912.82,1973.96,465.51
HTTP Data Sent (KB),344.87,1.60,1007.09,301071.04,6.40,84.85,130.56,194.49,292.88,436.34,671.03,851.88,970.94,217.39
HTTP DNS Lookup (ms),0.02,0.00,0.59,16.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.09
HTTP Duration (excl. conn) (ms),45820.13,2686.39,1067665.53,40000976.69,4291.95,7860.30,10526.48,15903.17,26523.56,47213.71,89634.49,137867.11,333188.58,73444.44
HTTP Receiving (ms),30909.23,38.84,1056429.29,26983760.46,449.36,2344.53,2837.45,4361.22,9660.90,25123.34,75262.41,128540.54,318199.85,72444.10
HTTP Sending (ms),0.34,0.13,1.69,296.67,0.17,0.20,0.21,0.22,0.24,0.26,0.85,1.06,1.41,0.29
HTTP Total Time (ms),45820.26,2686.39,1067665.53,40001084.80,4291.95,7860.30,10526.48,15903.17,26524.30,47214.34,89634.61,137867.11,333188.58,73444.44
HTTP Waiting (TTFB) (ms),14910.56,388.12,68318.95,13016919.56,767.68,1472.24,2333.42,6470.14,11957.57,19444.85,29392.90,38887.62,62496.92,12543.52
Input Sequence Length (tokens),87276.84,401.00,255550.00,76192681.00,1567.80,21392.80,32951.40,49156.00,73858.00,110724.00,169189.40,215641.20,246172.00,55188.17
Inter Chunk Latency (ms),37.62,0.07,3758.81,26983231.66,20.52,22.78,24.21,26.20,28.49,31.05,33.37,35.19,267.11,106.08
Inter Token Latency (ms),38.76,20.03,1327.45,33841.45,23.62,25.88,27.51,30.37,34.38,38.70,47.47,54.35,90.25,47.70
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),825.02,2.00,26571.00,720245.00,16.72,76.00,94.20,121.00,268.00,690.00,2034.80,3655.80,7904.40,1859.26
Output Token Count (tokens),825.02,2.00,26571.00,720245.00,16.72,76.00,94.20,121.00,268.00,690.00,2034.80,3655.80,7904.40,1859.26
Output Token Throughput Per User (tokens/sec/user),28.94,0.75,49.94,25260.85,11.10,18.40,21.07,25.84,29.08,32.93,36.35,38.64,42.33,6.28
Prefill Throughput Per User (tokens/sec/user),15257.94,20.69,146986.39,13320185.42,78.85,927.78,1457.78,3116.33,6299.91,14270.57,45818.48,78391.35,97113.19,22712.48
Request Latency (ms),45819.67,2686.48,1067665.63,40000573.02,4292.05,7860.38,10526.57,15903.28,26523.66,47213.80,89634.59,137867.21,333188.69,73444.54
Requested OSL (tokens),825.02,2.00,26571.00,720245.00,16.72,76.00,94.20,121.00,268.00,690.00,2034.80,3655.80,7904.40,1859.26
Time to First Output Token (ms),14911.04,388.67,68319.29,13017341.35,768.03,1472.94,2333.73,6470.47,11957.93,19445.19,29393.27,38888.40,62497.25,12543.66
Time to First Token (ms),14911.04,388.67,68319.29,13017341.35,768.03,1472.94,2333.73,6470.47,11957.93,19445.19,29393.27,38888.40,62497.25,12543.66
Time to Second Token (ms),45.93,9.44,1765.59,40097.66,19.88,22.16,23.72,25.35,27.50,30.08,32.38,35.89,818.25,143.31
Tokens In Flight (tokens),1244824.53,0.00,1815054.62,,,,,,1281511.60,,1691394.58,1719307.05,1808314.70,308204.64
Usage Completion Tokens (tokens),825.02,2.00,26571.00,720245.00,16.72,76.00,94.20,121.00,268.00,690.00,2034.80,3655.80,7904.40,1859.26
Usage Prompt Tokens (tokens),87276.84,401.00,255550.00,76192681.00,1567.80,21392.80,32951.40,49156.00,73858.00,110724.00,169189.40,215641.20,246172.00,55188.17
Usage Total Tokens (tokens),88101.86,418.00,255734.00,76912926.00,1583.76,21487.00,33131.20,49579.00,74596.00,111019.00,170680.40,223193.40,247593.24,55747.48

Metric,Value
Benchmark Duration (sec),3628.16
Input Token Throughput (tokens/sec),20989.70
Maximum Response Timestamp (ns),1783591693730294016.00
Minimum Request Timestamp (ns),1783588065565795840.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),198.41
Request Count,873.00
Request Throughput (requests/sec),0.24
Theoretical Prefix Cache Hit (%),95.47
Total Input Sequence Length (tokens),76192681.00
Total Output Sequence Length (tokens),720245.00
Total Output Tokens (tokens),720245.00
Total Token Throughput (tokens/sec),21188.11
Total Usage Completion Tokens (tokens),720245.00
Total Usage Prompt Tokens (tokens),76192681.00
Total Usage Total Tokens (tokens),76912926.00
