Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),424.11,0.00,31687.15,,,,,,563.45,,604.48,614.26,678.71,243.91
Active Decode Throughput Per User (tokens/sec/user),27.12,0.00,2437.47,,,,,,35.53,,37.94,38.62,45.26,15.37
Active Prefill Throughput (tokens/sec),55087.59,60.93,632709.17,,,,,,42912.68,,94862.36,127580.69,284169.04,48887.62
Active Prefill Throughput Per User (tokens/sec/user),20904.13,60.93,352127.40,,,,,,9967.09,,37942.66,71463.86,210903.06,36499.37
Active Total Throughput (tokens/sec),51750.85,33.75,633077.84,,,,,,40752.67,,92079.92,122329.22,280262.33,49180.42
Credit Drop Latency (ms),2.32,0.38,31.57,196.81,0.45,0.55,0.71,1.07,1.38,2.09,3.68,6.58,15.19,3.70
Credit-to-Start Latency (ms),1.86,0.42,57.02,3233.29,0.51,0.59,0.63,0.72,0.86,1.30,3.62,7.08,15.92,3.56
E2E Output Token Throughput (tokens/sec/user),17.37,0.08,39.70,30135.74,1.51,4.75,7.09,11.14,17.55,23.93,27.22,28.45,31.58,7.66
Effective Concurrency,19.47,0.00,30.00,,,,,,19.00,,23.00,24.00,29.00,3.39
Effective Decode Concurrency,15.38,0.00,16.00,,,,,,16.00,,16.00,16.00,16.00,1.61
Effective Decode Throughput (tokens/sec),422.83,0.00,31687.15,,,,,,563.26,,604.43,614.21,678.35,244.66
Effective Decode Throughput Per User (tokens/sec/user),27.04,0.00,2437.47,,,,,,35.52,,37.93,38.62,45.25,15.42
Effective Latency (CO-aware) (ms),40848.38,1035.38,908015.71,70871932.38,2975.42,5385.57,7434.16,12303.63,21178.68,38227.07,85285.26,157950.70,327236.24,67062.79
Effective Prefill Concurrency,4.09,0.00,22.00,,,,,,4.00,,8.00,9.00,13.00,2.81
Effective Prefill Throughput (tokens/sec),51185.29,0.00,632709.17,,,,,,40227.79,,91686.28,121890.66,279904.63,49197.93
Effective Prefill Throughput Per User (tokens/sec/user),19423.32,0.00,352127.40,,,,,,9268.23,,36542.09,65719.19,208912.94,35589.26
Effective Total Throughput (tokens/sec),51608.12,0.00,633077.84,,,,,,40665.63,,92079.92,122286.92,280262.33,49187.48
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,888.02,1.00,25198.00,1540720.00,13.00,77.00,97.00,132.50,287.00,763.00,2085.80,4034.60,8445.20,1835.42
HTTP Chunks Sent,1.00,1.00,1.00,1735.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.05,0.00,1.29,85.94,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.40,0.62,0.15
HTTP Connection Overhead (ms),0.06,0.00,1.29,104.85,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.41,0.88,0.19
HTTP Connection Reused (ratio),0.89,0.00,1.00,1544.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.31
HTTP Data Received (KB),223.07,0.86,6312.54,387030.59,3.86,19.93,24.89,33.82,72.64,191.70,523.34,1014.55,2118.31,459.95
HTTP Data Sent (KB),423.78,1.19,1008.02,735257.44,2.63,104.73,146.63,222.22,349.79,598.57,833.89,926.45,989.15,257.18
HTTP DNS Lookup (ms),0.01,0.00,0.31,18.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.05
HTTP Duration (excl. conn) (ms),40846.45,1034.45,908002.37,70868594.96,2973.92,5384.74,7433.40,12302.56,21172.89,38225.25,85283.76,157948.78,327216.26,67061.99
HTTP Receiving (ms),32268.28,0.00,889157.12,55985465.81,373.94,2381.18,3097.82,4751.17,10539.72,28378.72,76341.73,148500.89,312417.06,66444.30
HTTP Sending (ms),0.19,0.05,1.45,328.40,0.10,0.10,0.11,0.12,0.14,0.16,0.45,0.58,0.79,0.15
HTTP Total Time (ms),40846.51,1034.45,908002.37,70868699.81,2973.92,5384.74,7433.40,12302.56,21172.89,38225.25,85283.90,157948.78,327216.26,67062.00
HTTP Waiting (TTFB) (ms),8577.98,150.53,52927.92,14882800.74,268.72,592.44,1099.12,3371.69,6908.46,11588.07,17863.21,22944.83,32601.24,7219.34
Input Sequence Length (tokens),107385.90,275.00,255835.00,186314530.00,658.00,26658.90,37144.00,56240.00,89001.00,151743.00,211245.40,234551.50,250970.34,65095.69
Inter Chunk Latency (ms),36.56,0.40,5085.01,55985316.23,20.84,25.55,26.21,26.90,27.66,28.36,29.18,32.03,386.45,71.58
Inter Token Latency (ms),36.49,24.78,147.42,63235.83,26.56,27.72,28.59,31.39,34.70,38.64,44.26,49.74,79.34,9.88
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),888.08,1.00,25200.00,1540827.00,13.00,77.00,97.00,132.50,287.00,763.00,2085.80,4034.60,8445.20,1835.55
Output Token Count (tokens),888.08,1.00,25200.00,1540827.00,13.00,77.00,97.00,132.50,287.00,763.00,2085.80,4034.60,8445.20,1835.55
Output Token Throughput Per User (tokens/sec/user),28.59,6.78,40.36,49543.08,12.60,20.11,22.59,25.88,28.82,31.85,34.98,36.07,37.65,4.95
Prefill Throughput Per User (tokens/sec/user),38912.32,20.11,352127.42,67512873.49,98.82,2251.35,3207.97,6110.30,13457.97,34378.07,113050.35,199714.60,320363.14,65451.83
Request Latency (ms),40846.43,1034.50,908002.43,70868564.25,2973.99,5384.81,7433.47,12302.63,21172.94,38225.30,85283.83,157948.83,327216.32,67062.01
Requested OSL (tokens),888.08,1.00,25200.00,1540827.00,13.00,77.00,97.00,132.50,287.00,763.00,2085.80,4034.60,8445.20,1835.55
Time to First Output Token (ms),8578.24,150.70,52928.11,14883248.01,268.95,592.68,1099.32,3372.04,6908.70,11588.38,17863.41,22945.01,32601.45,7219.34
Time to First Token (ms),8578.24,150.70,52928.11,14883248.01,268.95,592.68,1099.32,3372.04,6908.70,11588.38,17863.41,22945.01,32601.45,7219.34
Time to Second Token (ms),48.22,7.34,2053.67,83557.05,18.22,22.68,24.57,25.54,26.45,27.48,29.07,34.25,804.95,153.31
Tokens In Flight (tokens),2488674.61,0.00,3579881.71,,,,,,2462410.21,,2929750.25,3181902.12,3425662.03,390617.32
Usage Completion Tokens (tokens),888.08,1.00,25200.00,1540827.00,13.00,77.00,97.00,132.50,287.00,763.00,2085.80,4034.60,8445.20,1835.55
Usage Prompt Tokens (tokens),107385.90,275.00,255835.00,186314530.00,658.00,26658.90,37144.00,56240.00,89001.00,151743.00,211245.40,234551.50,250970.34,65095.69
Usage Total Tokens (tokens),108273.98,289.00,256005.00,187855357.00,677.02,26903.30,37336.00,56560.50,89613.00,154325.50,212103.40,235885.70,251895.96,65441.58

Metric,Value
Benchmark Duration (sec),3629.96
Input Token Throughput (tokens/sec),51185.29
Maximum Response Timestamp (ns),1785153798672067840.00
Minimum Request Timestamp (ns),1785150168710057728.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),423.30
Request Count,1735.00
Request Throughput (requests/sec),0.48
Theoretical Prefix Cache Hit (%),96.57
Total Input Sequence Length (tokens),186314530.00
Total Output Sequence Length (tokens),1540827.00
Total Output Tokens (tokens),1540827.00
Total Token Throughput (tokens/sec),51608.60
Total Usage Completion Tokens (tokens),1540827.00
Total Usage Prompt Tokens (tokens),186314530.00
Total Usage Total Tokens (tokens),187855357.00
