Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Effective Prefill Throughput Per User (tokens/sec/user),7873.29,0.00,110246.53,,,,,,2346.36,,20589.47,37529.46,77771.51,14595.18
Effective Total Throughput (tokens/sec),12348.81,0.00,157915.88,,,,,,5963.16,,32533.21,49471.19,89834.03,18416.22
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1077.74,2.00,26564.00,589523.00,16.46,79.90,92.00,111.50,183.00,784.50,3073.00,5356.60,11633.68,2401.83
HTTP Chunks Sent,1.00,1.00,1.00,547.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.16,0.00,28.52,86.64,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.75,1.23,1.25
HTTP Connection Overhead (ms),0.21,0.00,46.58,114.02,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.75,1.63,2.02
HTTP Connection Reused (ratio),0.87,0.00,1.00,474.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.34
HTTP Data Received (KB),270.07,1.11,6593.67,147726.16,4.73,20.59,23.69,28.51,46.39,197.08,768.01,1338.58,2919.72,599.60
HTTP Data Sent (KB),320.60,1.72,987.56,175366.32,2.67,69.60,79.27,148.92,262.09,464.89,652.45,819.35,933.38,227.65
HTTP DNS Lookup (ms),0.05,0.00,18.06,27.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.78
HTTP Duration (excl. conn) (ms),37328.26,562.89,658564.26,20418558.73,2111.89,2947.03,3706.14,7248.18,16623.20,43822.22,89521.31,134733.59,275844.24,60196.52
HTTP Receiving (ms),24633.21,129.71,654370.13,13474364.57,322.74,1490.08,1771.36,2211.35,4085.49,18436.26,66211.60,117996.91,269730.47,57544.34
HTTP Sending (ms),0.38,0.13,28.70,206.75,0.16,0.18,0.19,0.20,0.23,0.25,0.80,1.01,1.47,1.25
HTTP Total Time (ms),37328.47,562.89,658564.26,20418672.74,2111.89,2947.03,3706.38,7248.18,16623.20,43822.22,89521.31,134733.59,275845.00,60196.53
HTTP Waiting (TTFB) (ms),12694.68,204.16,168263.67,6943987.40,340.54,820.45,1265.80,2401.70,5834.03,14134.70,36723.43,51796.79,76914.86,18261.02
Input Sequence Length (tokens),81097.90,403.00,249764.00,44360550.00,688.52,17639.20,20027.80,37366.50,66253.00,117411.50,164628.60,207587.70,236105.10,57552.32
Inter Chunk Latency (ms),22.92,0.00,3735.41,13474307.23,13.90,15.40,16.51,18.30,20.28,21.38,22.29,22.82,30.16,63.28
Inter Token Latency (ms),22.90,14.23,461.76,12526.01,15.56,16.97,17.65,18.89,20.82,23.26,27.19,31.12,52.29,19.86
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1078.00,2.00,26571.00,589666.00,16.46,79.90,92.60,111.50,183.00,785.50,3073.60,5356.90,11639.38,2402.37
Output Token Count (tokens),1078.00,2.00,26571.00,589666.00,16.46,79.90,92.60,111.50,183.00,785.50,3073.60,5356.90,11639.38,2402.37
Output Token Throughput Per User (tokens/sec/user),47.31,2.17,70.29,25876.64,19.14,32.14,36.78,43.00,48.03,52.93,56.66,58.92,64.28,8.57
Prefill Throughput Per User (tokens/sec/user),23730.17,16.54,110246.54,12980402.00,62.74,575.49,1278.36,3528.99,12175.11,37026.54,69790.30,79076.26,92251.76,26292.08
Request Latency (ms),37328.36,562.99,658564.36,20418613.76,2111.99,2947.13,3706.23,7248.31,16623.32,43822.31,89521.42,134733.69,275844.36,60196.52
Requested OSL (tokens),1078.00,2.00,26571.00,589666.00,16.46,79.90,92.60,111.50,183.00,785.50,3073.60,5356.90,11639.38,2402.37
Time to First Output Token (ms),12695.26,204.48,168264.01,6944306.53,340.90,820.77,1266.38,2402.02,5834.38,14135.05,36723.74,51797.24,76915.20,18261.00
Time to First Token (ms),12695.26,204.48,168264.01,6944306.53,340.90,820.77,1266.38,2402.02,5834.38,14135.05,36723.74,51797.24,76915.20,18261.00
Time to Second Token (ms),25.38,1.04,1184.29,13883.31,13.06,15.37,15.94,17.42,18.81,20.19,21.20,22.98,150.57,60.64
Tokens In Flight (tokens),629286.37,0.00,1012197.52,,,,,,623182.70,,817781.11,918122.89,1005470.39,160145.46
Usage Completion Tokens (tokens),1078.00,2.00,26571.00,589666.00,16.46,79.90,92.60,111.50,183.00,785.50,3073.60,5356.90,11639.38,2402.37
Usage Prompt Tokens (tokens),81097.90,403.00,249764.00,44360550.00,688.52,17639.20,20027.80,37366.50,66253.00,117411.50,164628.60,207587.70,236105.10,57552.32
Usage Total Tokens (tokens),82175.90,432.00,255454.00,44950216.00,710.44,17764.10,20212.80,37664.00,67254.00,118770.00,165542.40,213972.70,241827.02,58392.90

Metric,Value
Benchmark Duration (sec),3625.94
Input Token Throughput (tokens/sec),12186.96
Maximum Response Timestamp (ns),1783596237783560192.00
Minimum Request Timestamp (ns),1783592611842277376.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),162.00
Request Count,547.00
Request Throughput (requests/sec),0.15
Theoretical Prefix Cache Hit (%),93.89
Total Input Sequence Length (tokens),44360550.00
Total Output Sequence Length (tokens),589666.00
Total Output Tokens (tokens),589666.00
Total Token Throughput (tokens/sec),12348.96
Total Usage Completion Tokens (tokens),589666.00
Total Usage Prompt Tokens (tokens),44360550.00
Total Usage Total Tokens (tokens),44950216.00
