Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),329.87,0.00,64213.78,,,,,,401.23,,433.01,444.44,466.00,161.58
Active Decode Throughput Per User (tokens/sec/user),41.57,0.00,8026.72,,,,,,50.27,,54.29,55.62,58.61,20.18
Active Prefill Throughput (tokens/sec),37495.67,41.44,489475.75,,,,,,32596.05,,62499.50,76324.92,120311.18,24912.15
Active Prefill Throughput Per User (tokens/sec/user),10933.50,41.44,341489.50,,,,,,8421.78,,18759.03,25115.42,50858.94,12184.43
Active Total Throughput (tokens/sec),37096.54,45.50,489475.75,,,,,,32291.50,,62511.41,75163.46,118715.43,25193.65
Credit Drop Latency (ms),2.01,0.54,9.60,90.24,0.55,0.57,0.70,1.15,1.55,2.45,2.90,4.79,7.78,1.55
Credit-to-Start Latency (ms),2.15,0.41,66.34,2371.31,0.49,0.57,0.61,0.71,0.87,1.69,4.43,6.96,20.79,4.79
E2E Output Token Throughput (tokens/sec/user),21.23,0.02,50.15,23432.74,1.03,4.44,6.63,12.19,20.50,29.50,37.39,40.74,44.95,11.27
Effective Concurrency,11.65,0.00,17.00,,,,,,12.00,,14.00,15.00,16.00,1.94
Effective Decode Concurrency,7.71,0.00,8.00,,,,,,8.00,,8.00,8.00,8.00,0.77
Effective Decode Throughput (tokens/sec),328.17,0.00,64213.78,,,,,,401.11,,432.93,444.38,465.93,162.89
Effective Decode Throughput Per User (tokens/sec/user),41.36,0.00,8026.72,,,,,,50.25,,54.28,55.61,58.60,20.35
Effective Latency (CO-aware) (ms),38406.66,2835.44,713411.08,42400951.25,5371.18,8335.54,10802.61,15296.97,23513.94,38126.62,67987.48,119800.61,301726.52,57760.94
Effective Prefill Concurrency,3.94,0.00,10.00,,,,,,4.00,,6.00,7.00,9.00,1.74
Effective Prefill Throughput (tokens/sec),36584.02,0.00,489475.75,,,,,,31876.34,,62093.04,74675.81,118506.12,25276.03
Effective Prefill Throughput Per User (tokens/sec/user),10667.67,0.00,341489.50,,,,,,8265.62,,18370.52,24891.94,50676.80,12152.63
Effective Total Throughput (tokens/sec),36912.19,0.00,489475.75,,,,,,32221.49,,62396.88,74954.90,118715.43,25266.00
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,1082.92,1.00,32369.00,1195547.00,13.00,92.15,118.00,206.00,395.00,904.25,2300.50,4501.45,12303.36,2445.97
HTTP Chunks Sent,1.00,1.00,1.00,1104.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.04,0.00,0.70,41.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.57,0.12
HTTP Connection Overhead (ms),0.05,0.00,0.99,50.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.82,0.16
HTTP Connection Reused (ratio),0.91,0.00,1.00,1005.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.29
HTTP Data Received (KB),271.89,0.85,8106.80,300170.27,3.86,23.67,30.28,52.30,99.52,227.30,576.36,1126.29,3077.59,612.84
HTTP Data Sent (KB),476.33,1.19,1008.02,525869.39,2.71,133.99,186.72,293.89,449.53,656.77,837.71,912.60,984.70,237.88
HTTP DNS Lookup (ms),0.01,0.00,0.32,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.04
HTTP Duration (excl. conn) (ms),38404.45,2834.79,713410.16,42398518.27,5369.55,8334.12,10801.63,15295.05,23513.17,38125.72,67983.16,119799.76,301725.71,57760.33
HTTP Receiving (ms),25425.14,0.00,710295.82,28069355.02,224.61,1893.13,2605.65,4701.87,9149.81,21053.09,52151.52,109736.78,291626.17,57288.81
HTTP Sending (ms),0.17,0.06,0.89,185.29,0.10,0.10,0.10,0.11,0.13,0.15,0.18,0.52,0.74,0.13
HTTP Total Time (ms),38404.50,2834.79,713410.96,42398568.92,5369.86,8334.12,10802.22,15295.05,23513.17,38125.72,67983.16,119799.76,301725.71,57760.34
HTTP Waiting (TTFB) (ms),12979.15,202.88,59113.43,14328977.96,719.08,2784.31,4170.09,6689.56,11386.04,17015.97,24107.84,28250.60,38261.29,8315.00
Input Sequence Length (tokens),120621.22,273.00,254612.00,133165830.00,662.98,33852.75,47099.10,74640.75,114096.50,166212.50,211811.00,230543.45,249184.32,60132.20
Inter Chunk Latency (ms),23.62,0.06,2254.59,28069164.76,15.68,17.92,18.28,18.95,19.61,20.15,20.60,21.02,40.96,49.42
Inter Token Latency (ms),23.57,17.66,116.42,25925.97,18.25,19.01,19.53,20.63,22.39,24.71,27.90,31.16,45.06,6.03
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1083.01,1.00,32370.00,1195639.00,13.00,92.15,118.00,206.00,395.00,904.25,2300.50,4501.45,12303.39,2446.13
Output Token Count (tokens),1083.01,1.00,32370.00,1195639.00,13.00,92.15,118.00,206.00,395.00,904.25,2300.50,4501.45,12303.39,2446.13
Output Token Throughput Per User (tokens/sec/user),43.85,8.59,56.62,48231.45,22.19,32.09,35.84,40.46,44.66,48.47,51.20,52.60,54.81,6.54
Prefill Throughput Per User (tokens/sec/user),16583.68,18.29,341489.48,18308387.64,86.03,2059.36,3177.48,5705.92,10175.42,17192.14,29770.70,47317.80,130481.42,26293.18
Request Latency (ms),38404.35,2834.83,713410.23,42398397.88,5369.57,8334.17,10801.69,15295.09,23513.21,38125.77,67983.22,119799.82,301725.76,57760.33
Requested OSL (tokens),1083.01,1.00,32370.00,1195639.00,13.00,92.15,118.00,206.00,395.00,904.25,2300.50,4501.45,12303.39,2446.13
Time to First Output Token (ms),12979.38,203.59,59113.65,14329233.11,719.61,2784.50,4170.28,6689.72,11386.39,17016.15,24108.06,28250.83,38261.50,8315.01
Time to First Token (ms),12979.38,203.59,59113.65,14329233.11,719.61,2784.50,4170.28,6689.72,11386.39,17016.15,24108.06,28250.83,38261.50,8315.01
Time to Second Token (ms),29.05,0.15,1345.24,31957.52,10.85,16.44,17.04,17.69,18.34,18.96,19.48,19.95,457.70,98.06
Tokens In Flight (tokens),1581932.43,0.00,2114753.87,,,,,,1586148.03,,1930781.27,2020225.01,2094036.95,302471.84
Usage Completion Tokens (tokens),1083.01,1.00,32370.00,1195639.00,13.00,92.15,118.00,206.00,395.00,904.25,2300.50,4501.45,12303.39,2446.13
