Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),83.47,0.00,972.62,,,,,,35.82,,96.11,599.21,682.23,156.03
Active Decode Throughput Per User (tokens/sec/user),3.58,0.00,50.45,,,,,,1.53,,3.83,23.93,24.51,6.30
Active Prefill Throughput (tokens/sec),12685.56,294.90,71531.01,,,,,,12295.54,,15130.04,16071.33,35323.62,5289.71
Active Prefill Throughput Per User (tokens/sec/user),669.07,294.90,3064.30,,,,,,662.06,,819.49,887.56,997.34,127.56
Active Total Throughput (tokens/sec),12717.44,4.74,71531.01,,,,,,12400.52,,15223.12,16153.88,35338.44,5335.16
Credit Drop Latency (ms),3.97,0.50,32.19,79.33,0.52,0.60,1.13,1.37,1.75,2.80,5.73,12.23,28.20,6.86
Credit-to-Start Latency (ms),1.32,0.45,32.40,665.09,0.49,0.54,0.59,0.66,0.78,1.03,2.47,3.84,9.07,2.04
E2E Output Token Throughput (tokens/sec/user),1.41,0.04,4.20,711.40,0.09,0.29,0.53,0.72,1.13,1.95,2.75,3.23,3.97,0.91
Effective Concurrency,41.79,0.00,50.00,,,,,,46.00,,49.00,50.00,50.00,8.92
Effective Decode Concurrency,22.74,0.00,32.00,,,,,,24.00,,29.00,30.00,31.00,5.97
Effective Decode Throughput (tokens/sec),82.95,0.00,972.62,,,,,,35.72,,95.47,597.79,681.79,155.68
Effective Decode Throughput Per User (tokens/sec/user),3.55,0.00,50.45,,,,,,1.53,,3.81,23.93,24.50,6.29
Effective Latency (CO-aware) (ms),301793.38,10584.52,3522316.30,152103861.81,82466.21,110060.21,137624.20,162932.72,206845.16,310799.45,494696.61,862553.34,1623167.44,312273.51
Effective Prefill Concurrency,19.05,0.00,50.00,,,,,,19.00,,23.00,29.00,43.00,6.22
Effective Prefill Throughput (tokens/sec),12591.72,0.00,71531.01,,,,,,12295.31,,15117.43,16071.33,35323.62,5381.05
Effective Prefill Throughput Per User (tokens/sec/user),664.12,0.00,3064.30,,,,,,661.63,,819.49,882.33,997.34,139.42
Effective Total Throughput (tokens/sec),12674.67,0.00,71531.01,,,,,,12393.44,,15220.73,16153.88,35338.44,5376.83
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,600.10,2.00,12259.00,302450.00,12.00,46.45,92.00,114.75,227.00,554.25,1275.00,2401.90,5672.22,1142.96
HTTP Chunks Sent,1.00,1.00,1.00,504.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.09,0.00,1.47,47.36,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.57,0.92,0.23
HTTP Connection Overhead (ms),0.12,0.00,2.40,62.05,0.00,0.00,0.00,0.00,0.00,0.00,0.65,0.80,1.41,0.31
HTTP Connection Reused (ratio),0.83,0.00,1.00,418.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.38
HTTP Data Received (KB),150.94,1.11,3075.60,76072.64,3.61,12.28,23.69,29.27,57.27,139.04,319.67,601.95,1422.56,286.46
HTTP Data Sent (KB),359.15,1.40,983.16,181011.46,1.99,85.99,132.74,190.46,328.63,461.83,692.00,795.16,933.59,212.64
HTTP DNS Lookup (ms),0.03,0.00,0.93,14.69,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.23,0.49,0.10
HTTP Duration (excl. conn) (ms),301792.00,10583.59,3522315.49,152103167.40,82465.42,110059.48,137623.47,162930.60,206844.31,310798.09,494695.73,862550.75,1623166.63,312273.50
HTTP Receiving (ms),164212.71,207.77,3499422.80,82763207.50,1094.15,6472.66,12890.99,29329.51,64519.44,160280.25,347657.66,713583.55,1494362.93,309984.38
HTTP Sending (ms),0.23,0.10,1.61,116.45,0.10,0.11,0.11,0.12,0.14,0.17,0.63,0.74,1.03,0.23
HTTP Total Time (ms),301792.12,10583.59,3522316.07,152103229.45,82465.73,110059.48,137623.47,162930.60,206844.71,310798.63,494695.73,862550.75,1623166.63,312273.54
HTTP Waiting (TTFB) (ms),137579.05,10288.15,308752.40,69339843.45,30784.99,81523.64,94475.46,117893.67,135288.80,151991.37,168262.84,223461.78,294688.07,41388.61
Input Sequence Length (tokens),90940.21,338.00,249436.00,45833867.00,468.03,21997.20,33283.00,48246.50,83896.00,117748.25,175152.20,200714.50,236239.10,53862.32
Inter Chunk Latency (ms),275.33,27.60,12071.28,82763159.31,37.79,40.54,41.18,41.67,42.29,474.09,753.58,935.42,1292.71,330.20
Inter Token Latency (ms),281.49,40.35,731.04,141868.67,42.46,100.96,137.96,199.10,264.75,354.64,438.33,510.71,618.10,122.38
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),600.10,2.00,12259.00,302450.00,12.00,46.45,92.00,114.75,227.00,554.25,1275.00,2401.90,5672.22,1142.96
Output Token Count (tokens),600.10,2.00,12259.00,302450.00,12.00,46.45,92.00,114.75,227.00,554.25,1275.00,2401.90,5672.22,1142.96
Output Token Throughput Per User (tokens/sec/user),4.61,1.37,24.78,2321.87,1.62,1.96,2.28,2.82,3.78,5.02,7.25,9.91,23.56,3.40
Prefill Throughput Per User (tokens/sec/user),743.73,3.24,13159.64,374838.24,4.94,170.10,243.26,359.19,617.91,911.70,1300.61,1483.68,2510.32,842.95
Request Latency (ms),301791.97,10583.65,3522315.54,152103151.92,82465.47,110059.55,137623.53,162930.65,206844.38,310798.15,494695.79,862550.82,1623166.69,312273.53
Requested OSL (tokens),600.10,2.00,12259.00,302450.00,12.00,46.45,92.00,114.75,227.00,554.25,1275.00,2401.90,5672.22,1142.96
Time to First Output Token (ms),137579.35,10288.44,308753.00,69339992.61,30785.97,81524.08,94475.63,117893.83,135289.25,151991.57,168263.04,223462.50,294689.41,41388.64
Time to First Token (ms),137579.35,10288.44,308753.00,69339992.61,30785.97,81524.08,94475.63,117893.83,135289.25,151991.57,168263.04,223462.50,294689.41,41388.64
Time to Second Token (ms),210.32,35.34,661.39,106003.40,37.09,39.05,39.83,40.83,259.55,301.21,400.27,432.19,482.54,146.89
Tokens In Flight (tokens),4435119.03,0.00,5273597.34,,,,,,4958352.20,,5117593.46,5145371.09,5166125.43,1027289.89
Usage Completion Tokens (tokens),600.10,2.00,12259.00,302450.00,12.00,46.45,92.00,114.75,227.00,554.25,1275.00,2401.90,5672.22,1142.96
Usage Prompt Tokens (tokens),90940.21,338.00,249436.00,45833867.00,468.03,21997.20,33283.00,48246.50,83896.00,117748.25,175152.20,200714.50,236239.10,53862.32
Usage Total Tokens (tokens),91540.31,356.00,252001.00,46136317.00,486.09,22180.10,33408.60,48361.25,84145.00,118485.00,175557.00,201065.85,236370.05,54163.39

Metric,Value
Benchmark Duration (sec),3627.76
Input Token Throughput (tokens/sec),12591.72
Maximum Response Timestamp (ns),1785160176833588224.00
Minimum Request Timestamp (ns),1785156549074875392.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),83.09
Request Count,504.00
Request Throughput (requests/sec),0.14
Theoretical Prefix Cache Hit (%),96.55
Total Input Sequence Length (tokens),45833867.00
Total Output Sequence Length (tokens),302450.00
Total Output Tokens (tokens),302450.00
Total Token Throughput (tokens/sec),12674.81
Total Usage Completion Tokens (tokens),302450.00
Total Usage Prompt Tokens (tokens),45833867.00
Total Usage Total Tokens (tokens),46136317.00
